name_eng,date_of_birth,url
Seo Hyeon Kim,2004-05-31,https://www.baseball-reference.com/register/player.fcgi?id=kim---051seo
Seung Il Kim,2001-07-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---008seu
Tae Yean Kim,1997-06-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---026tae
Kwang-Min Kwon,1997-12-12,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000kwa
Chung Ho Lee,1994-09-20,https://www.baseball-reference.com/register/player.fcgi?id=lee---003chu
Do Yun Lee,1996-10-07,https://www.baseball-reference.com/register/player.fcgi?id=lee---001do-
Jae Won Lee,1988-02-24,https://www.baseball-reference.com/register/player.fcgi?id=lee---005jae
Jin Young Lee,1997-07-21,https://www.baseball-reference.com/register/player.fcgi?id=lee---004jin
Min Woo Lee,1993-02-09,https://www.baseball-reference.com/register/player.fcgi?id=lee---006min
Myung Ki Lee,1987-12-26,https://www.baseball-reference.com/register/player.fcgi?id=lee---000mye
Sang Hyuk Lee,2001-09-14,https://www.baseball-reference.com/register/player.fcgi?id=lee---030san
Sang Kyu Lee,1996-10-20,https://www.baseball-reference.com/register/player.fcgi?id=lee---027san
Tae Yang Lee,1990-07-03,https://www.baseball-reference.com/register/player.fcgi?id=lee---003tae
Won Seok Lee,1999-03-31,https://www.baseball-reference.com/register/player.fcgi?id=lee---010won
Jong Chan Lim,2001-09-28,https://www.baseball-reference.com/register/player.fcgi?id=lim---002jon
Dong Ju Moon,2003-12-23,https://www.baseball-reference.com/register/player.fcgi?id=moon--002don
Hyun Bin Moon,2004-04-20,https://www.baseball-reference.com/register/player.fcgi?id=moon--000hyu
Ji Min Nam,2001-02-12,https://www.baseball-reference.com/register/player.fcgi?id=nam---000jim
Sang Un Park,1997-03-03,https://www.baseball-reference.com/register/player.fcgi?id=park--007san
Sang-won Park,1994-09-09,https://www.baseball-reference.com/register/player.fcgi?id=park--006san
Félix Peña,1990-02-25,https://www.baseball-reference.com/register/player.fcgi?id=pena--002fel
Yonathan Perlaza,1998-11-10,https://www.baseball-reference.com/register/player.fcgi?id=perlaz000yon
Si Hwan Roh,2000-12-03,https://www.baseball-reference.com/register/player.fcgi?id=noh---000si-
Hyun Jin Ryu,1987-03-25,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hye
Ricardo Sanchez,1997-04-11,https://www.baseball-reference.com/register/player.fcgi?id=sanche005ric
Ryan Weiss,1996-12-10,https://www.baseball-reference.com/register/player.fcgi?id=weiss-000rya
Jang Hyeok Yoo,2000-05-30,https://www.baseball-reference.com/register/player.fcgi?id=yoo---000jan
Dae Kyung Yun,1994-04-09,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000dae
Cam Alldred,1996-07-25,https://www.baseball-reference.com/register/player.fcgi?id=alldre000cam
Sócrates Brito,1992-09-06,https://www.baseball-reference.com/register/player.fcgi?id=brito-001soc
Woo-hyuk Byun,2000-03-18,https://www.baseball-reference.com/register/player.fcgi?id=byun--000woo
Hyoung Woo Choi,1983-12-16,https://www.baseball-reference.com/register/player.fcgi?id=choi--000hyo
Jeong Yong Choi,1996-10-24,https://www.baseball-reference.com/register/player.fcgi?id=choi--004jeo
Ji Min Choi,2003-09-10,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jim
Won Jun Choi,1997-03-23,https://www.baseball-reference.com/register/player.fcgi?id=choi--004won
Wil Crowe,1994-09-09,https://www.baseball-reference.com/register/player.fcgi?id=crowe-000wil
Joon-soon Han,1999-02-13,https://www.baseball-reference.com/register/player.fcgi?id=han---001joo
Seung Taek Han,1994-06-21,https://www.baseball-reference.com/register/player.fcgi?id=han---001seu
Jong Pyo Hong,2000-05-02,https://www.baseball-reference.com/register/player.fcgi?id=hong--000jon
Dae In Hwang,1996-02-10,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001dae
Dong Ha Hwang,2002-07-30,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001don
Gi Yeong Im,1993-04-16,https://www.baseball-reference.com/register/player.fcgi?id=lim---000ki-
Hyun Sik Jang,1995-02-24,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hye
Jae Hyouk Jang,2001-08-02,https://www.baseball-reference.com/register/player.fcgi?id=jang--005jae
Sang Hyun Jeon,1996-04-18,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001san
Hai Young Jung,2001-08-23,https://www.baseball-reference.com/register/player.fcgi?id=jung--000hai
Dae Yu Kim,1991-05-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---003dae
Do Yeong Kim,2003-10-02,https://www.baseball-reference.com/register/player.fcgi?id=kim---001doy
Doo Hyun Kim,2003-04-25,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doo
Ho Ryung Kim,1992-04-30,https://www.baseball-reference.com/register/player.fcgi?id=kim---003ho-
Hyeon Su Kim,2000-07-10,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hyu
Jeong Bin Kim,1994-06-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---000jeu
Keon Kuk Kim,1988-02-02,https://www.baseball-reference.com/register/player.fcgi?id=kim---016yon
Ki-hoon Kim,2000-01-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---001ki-
Kyu Sung Kim,1997-03-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---005kyu
Min Jae Kim,2003-07-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---033min
Min Ju Kim,2002-09-08,https://www.baseball-reference.com/register/player.fcgi?id=kim---035min
Seung-hyun Kim,1992-07-09,https://www.baseball-reference.com/register/player.fcgi?id=kim---005seu
Sun Bin Kim,1989-12-18,https://www.baseball-reference.com/register/player.fcgi?id=kim---002seo
Tae-gun Kim,1989-12-30,https://www.baseball-reference.com/register/player.fcgi?id=kim---003tae
Yi Hwan Kim,2000-09-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yih
Jong Wook Ko,1989-01-11,https://www.baseball-reference.com/register/player.fcgi?id=ko----000jon
Do Gyu Kwak,2004-04-12,https://www.baseball-reference.com/register/player.fcgi?id=kwak--000dog
Eric Lauer,1995-06-03,https://www.baseball-reference.com/register/player.fcgi?id=lauer-000eri
Chang Jin Lee,1991-03-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---012cha
Eui Lee Lee,2002-06-16,https://www.baseball-reference.com/register/player.fcgi?id=lee---000eui
Hyeong Bum Lee,1994-02-27,https://www.baseball-reference.com/register/player.fcgi?id=lee---001hyu
Jun Young Lee,1992-08-10,https://www.baseball-reference.com/register/player.fcgi?id=lee---004joo
Woo Sung Lee,1994-07-17,https://www.baseball-reference.com/register/player.fcgi?id=lee---002woo
Sung Bum Na,1989-10-03,https://www.baseball-reference.com/register/player.fcgi?id=na----000sun
James Naile,1993-02-08,https://www.baseball-reference.com/register/player.fcgi?id=naile-002jam
Sun Woo Oh,1996-12-13,https://www.baseball-reference.com/register/player.fcgi?id=oh----002seo
Chan-Ho Park,1995-06-05,https://www.baseball-reference.com/register/player.fcgi?id=park--004cha
Jun Pyo Park,1992-06-26,https://www.baseball-reference.com/register/player.fcgi?id=park--001joo
Jung Woo Park,1998-02-01,https://www.baseball-reference.com/register/player.fcgi?id=park--007jun
Min Park,2001-06-05,https://www.baseball-reference.com/register/player.fcgi?id=park--006min
Geon-chang Seo,1989-08-22,https://www.baseball-reference.com/register/player.fcgi?id=seo---000geo
Eric Stout,1993-03-27,https://www.baseball-reference.com/register/player.fcgi?id=stout-000eri
Hyeon-jong Yang,1988-03-01,https://www.baseball-reference.com/register/player.fcgi?id=yang--000hye
Seung Cheol Yoo,1998-03-02,https://www.baseball-reference.com/register/player.fcgi?id=yu----001seu
Do Hyun Yoon,2003-05-07,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000doh
Joong Hyun Yoon,1995-04-25,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001joo
Young Cheol Yoon,2004-04-20,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000you
Ji Sung You,2000-11-15,https://www.baseball-reference.com/register/player.fcgi?id=you---000jis
Sang Kwon Byeon,1997-04-04,https://www.baseball-reference.com/register/player.fcgi?id=byeon-000san
Sang Woo Cho,1994-09-04,https://www.baseball-reference.com/register/player.fcgi?id=cho---002san
Young Gun Cho,1999-02-04,https://www.baseball-reference.com/register/player.fcgi?id=jo----000you
Joo Hwan Choi,1988-02-28,https://www.baseball-reference.com/register/player.fcgi?id=choi--000ju-
Ronnie Dawson,1995-05-19,https://www.baseball-reference.com/register/player.fcgi?id=dawson002ron
Enmanuel De Jesus,1996-12-10,https://www.baseball-reference.com/register/player.fcgi?id=dejesu001enm
Yeong Min Ha,1995-05-07,https://www.baseball-reference.com/register/player.fcgi?id=ha----000yeo
Jae Young Jang,2002-05-10,https://www.baseball-reference.com/register/player.fcgi?id=jang--004jae
Chan Heon Jeong,1990-01-26,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000cha
Jun Pyo Jhun,2005-05-07,https://www.baseball-reference.com/register/player.fcgi?id=jhun--000jun
Seong Won Ju,2000-08-30,https://www.baseball-reference.com/register/player.fcgi?id=jung--000son
Seung Woo Ju,2000-01-30,https://www.baseball-reference.com/register/player.fcgi?id=ju----000seu
Ariel Jurado,1996-01-30,https://www.baseball-reference.com/register/player.fcgi?id=jurado000ari
Byeong Hwi Kim,2001-02-16,https://www.baseball-reference.com/register/player.fcgi?id=kim---007bye
Dong Heon Kim,2004-07-15,https://www.baseball-reference.com/register/player.fcgi?id=kim---028don
Dong Hyeok Kim,2001-12-27,https://www.baseball-reference.com/register/player.fcgi?id=kim---022don
Dong Kyu Kim,2004-07-09,https://www.baseball-reference.com/register/player.fcgi?id=kim---029don
Dong Uk Kim,1997-05-16,https://www.baseball-reference.com/register/player.fcgi?id=kim---023don
Gun Hee Kim,2004-11-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gun
Hyeseong Kim,1999-01-27,https://www.baseball-reference.com/register/player.fcgi?id=kim---016hye
In-beom Kim,2000-01-12,https://www.baseball-reference.com/register/player.fcgi?id=kim---007in-
Jae Hyun Kim,1993-03-18,https://www.baseball-reference.com/register/player.fcgi?id=kim---019jae
Jae Woong Kim,1998-10-22,https://www.baseball-reference.com/register/player.fcgi?id=kim---029jae
Joo-hyung Kim,1996-03-05,https://www.baseball-reference.com/register/player.fcgi?id=kim---005joo
Seon Gi Kim,1991-09-01,https://www.baseball-reference.com/register/player.fcgi?id=kim---001seo
Seong Min Kim,1994-04-26,https://www.baseball-reference.com/register/player.fcgi?id=kim---043seo
Si Ang Kim,2001-10-31,https://www.baseball-reference.com/register/player.fcgi?id=kim---001sia
Su Hwan Kim,1998-03-20,https://www.baseball-reference.com/register/player.fcgi?id=kim---000suh
Tae Jin Kim,1995-10-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---020tae
Whee Jip Kim,2002-01-01,https://www.baseball-reference.com/register/player.fcgi?id=kim---000whe
Woong Bin Kim,1996-02-09,https://www.baseball-reference.com/register/player.fcgi?id=kim---000woo
Yeon Ju Kim,2004-02-27,https://www.baseball-reference.com/register/player.fcgi?id=kim---017yeo
Yun Ha Kim,2005-03-07,https://www.baseball-reference.com/register/player.fcgi?id=kim---004yun
Young Woo Ko,2001-06-21,https://www.baseball-reference.com/register/player.fcgi?id=ko----001you
Hyung Jong Lee,1989-06-07,https://www.baseball-reference.com/register/player.fcgi?id=lee---005hye
Jae Sang Lee,2005-04-17,https://www.baseball-reference.com/register/player.fcgi?id=lee---024jae
Jong Min Lee,2001-06-04,https://www.baseball-reference.com/register/player.fcgi?id=lee---017jon
Ju Hyoung Lee,2001-04-02,https://www.baseball-reference.com/register/player.fcgi?id=lee---000juh
Myeong Jong Lee,2002-12-05,https://www.baseball-reference.com/register/player.fcgi?id=lee---005mye
Seung Won Lee,2004-07-02,https://www.baseball-reference.com/register/player.fcgi?id=lee---025seu
Won Seok Lee,1986-10-21,https://www.baseball-reference.com/register/player.fcgi?id=lee---004won
Yong-gyu Lee,1985-08-26,https://www.baseball-reference.com/register/player.fcgi?id=lee---001yon
Byung-Wook Lim,1995-09-30,https://www.baseball-reference.com/register/player.fcgi?id=lim---000byu
Ji-yeol Lim,1995-08-22,https://www.baseball-reference.com/register/player.fcgi?id=lim---001ji-
Sung Hyun Moon,1991-11-09,https://www.baseball-reference.com/register/player.fcgi?id=moon--001sun
Seok Ju Oh,1998-04-14,https://www.baseball-reference.com/register/player.fcgi?id=ok----000seo
Beom Jun Park,2004-05-28,https://www.baseball-reference.com/register/player.fcgi?id=park--000beo
Ju Hong Park,2001-04-16,https://www.baseball-reference.com/register/player.fcgi?id=park--000juh
Jun Hyeong Park,1999-03-07,https://www.baseball-reference.com/register/player.fcgi?id=park--009jun
Seong Bhin Park,2004-04-21,https://www.baseball-reference.com/register/player.fcgi?id=park--005seo
Seung Joo Park,1994-02-12,https://www.baseball-reference.com/register/player.fcgi?id=park--001seu
Soo Jong Park,1999-02-25,https://www.baseball-reference.com/register/player.fcgi?id=park--000soo
Yun Sung Park,2004-02-08,https://www.baseball-reference.com/register/player.fcgi?id=park--001yun
Hwi Yun Shim,2005-05-28,https://www.baseball-reference.com/register/player.fcgi?id=shim--000hwi
Jun Woo Sin,2001-06-21,https://www.baseball-reference.com/register/player.fcgi?id=sin---001jun
Hyeon Gi Son,2005-10-22,https://www.baseball-reference.com/register/player.fcgi?id=son---002hye
Ji Hoo Song,2005-01-08,https://www.baseball-reference.com/register/player.fcgi?id=song--000jih
Sung Mun Song,1996-08-29,https://www.baseball-reference.com/register/player.fcgi?id=song--000sun
Jong-hyeon Won,1987-07-31,https://www.baseball-reference.com/register/player.fcgi?id=won---000jon
Sung Jun Won,2000-03-31,https://www.baseball-reference.com/register/player.fcgi?id=won---000sun
Gi-hyun Yang,1998-12-16,https://www.baseball-reference.com/register/player.fcgi?id=yang--000gi-
Jin Won Ye,1999-03-16,https://www.baseball-reference.com/register/player.fcgi?id=ye----000jin
Jeong-Hyeon Yoon,1993-05-17,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001jeo
Seok Won Yun,2003-07-04,https://www.baseball-reference.com/register/player.fcgi?id=yun---006seo
Hyun Min Ahn,2003-08-22,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000hyu
Chi Young An,1998-05-29,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000chi
Jung Dae Bae,1995-06-12,https://www.baseball-reference.com/register/player.fcgi?id=bae---000bye
Wes Benjamin,1993-07-26,https://www.baseball-reference.com/register/player.fcgi?id=benjam000wes
Seong Ho Cheon,1997-10-30,https://www.baseball-reference.com/register/player.fcgi?id=cheon-000seo
Dae Hyun Cho,1999-08-06,https://www.baseball-reference.com/register/player.fcgi?id=cho---000dae
Yong Ho Cho,1989-09-09,https://www.baseball-reference.com/register/player.fcgi?id=cho---004yon
William Cuevas,1990-10-14,https://www.baseball-reference.com/register/player.fcgi?id=cuevas001wil
Jun Ho Ha,1989-04-29,https://www.baseball-reference.com/register/player.fcgi?id=ha----001jun
Cha Hyeon Han,1998-11-30,https://www.baseball-reference.com/register/player.fcgi?id=han---000cha
Hyeon Bin Hong,1997-08-29,https://www.baseball-reference.com/register/player.fcgi?id=hong--000hyu
Jae-gyun Hwang,1987-07-28,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001jae
Jun Won Jang,1995-11-21,https://www.baseball-reference.com/register/player.fcgi?id=chang-000joo
Sung-Woo Jang,1990-01-17,https://www.baseball-reference.com/register/player.fcgi?id=jang--001sun
Yong-ju Jeon,2000-02-12,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001yon
Jun Young Jeong,2004-01-26,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000jun
Yi Hyeon Jo,1995-06-27,https://www.baseball-reference.com/register/player.fcgi?id=cho---002yeo
Kwon Ju,1995-05-31,https://www.baseball-reference.com/register/player.fcgi?id=joo---000kwa
Baek Ho Kang,1999-07-29,https://www.baseball-reference.com/register/player.fcgi?id=kang--000bae
Geon Kang,2004-07-12,https://www.baseball-reference.com/register/player.fcgi?id=kang--000geo
Hyeon Woo Kang,2001-04-13,https://www.baseball-reference.com/register/player.fcgi?id=kang--002hye
Min Sung Kang,1999-12-08,https://www.baseball-reference.com/register/player.fcgi?id=kang--009min
Byeong Jun Kim,2003-07-03,https://www.baseball-reference.com/register/player.fcgi?id=kim---008bye
Geon Hyoung Kim,1996-07-12,https://www.baseball-reference.com/register/player.fcgi?id=kim---000rya
Jun Tae Kim,1994-07-31,https://www.baseball-reference.com/register/player.fcgi?id=kim---001joo
Min Kim,1999-04-14,https://www.baseball-reference.com/register/player.fcgi?id=kim---024min
Min Hyuck Kim,1995-11-21,https://www.baseball-reference.com/register/player.fcgi?id=kim---017min
Min Su Kim,1992-07-24,https://www.baseball-reference.com/register/player.fcgi?id=kim---019min
Sang-soo Kim,1990-03-23,https://www.baseball-reference.com/register/player.fcgi?id=kim---008san
Young Hyun Kim,2002-08-18,https://www.baseball-reference.com/register/player.fcgi?id=kim---006you
Young Pyo Ko,1991-09-16,https://www.baseball-reference.com/register/player.fcgi?id=ko----000you
Dong Jin Kwon,1998-09-12,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000don
Chae Ho Lee,1998-11-23,https://www.baseball-reference.com/register/player.fcgi?id=lee---021cha
Ho Yeon Lee,1995-06-03,https://www.baseball-reference.com/register/player.fcgi?id=lee---000hoy
Sang Dong Lee,1995-11-24,https://www.baseball-reference.com/register/player.fcgi?id=lee---025san
Sun-woo Lee,2000-09-19,https://www.baseball-reference.com/register/player.fcgi?id=lee---008sun
Yong Ik Mon,1995-02-04,https://www.baseball-reference.com/register/player.fcgi?id=mon---000yon
Sang Chul Moon,1991-04-06,https://www.baseball-reference.com/register/player.fcgi?id=moon--000san
Jae Il Oh,1986-10-29,https://www.baseball-reference.com/register/player.fcgi?id=oh----000jae
Yoon Suk Oh,1992-02-24,https://www.baseball-reference.com/register/player.fcgi?id=oh----000yoo
ByungHo Park,1986-07-10,https://www.baseball-reference.com/register/player.fcgi?id=park--000byu
Kyung Su Park,1984-03-31,https://www.baseball-reference.com/register/player.fcgi?id=park--001kyu
Min-suk Park,2000-04-13,https://www.baseball-reference.com/register/player.fcgi?id=park--005min
Se Jin Park,1997-06-27,https://www.baseball-reference.com/register/player.fcgi?id=park--002sae
Si Young Park,1989-03-10,https://www.baseball-reference.com/register/player.fcgi?id=park--000si-
Yeong Hyun Park,2003-10-11,https://www.baseball-reference.com/register/player.fcgi?id=park--000yeo
Mel Rojas,1990-05-24,https://www.baseball-reference.com/register/player.fcgi?id=rojas-002mel
Jae Heon Seong,1997-12-22,https://www.baseball-reference.com/register/player.fcgi?id=seong-000jae
Woo Jun Shim,1995-04-28,https://www.baseball-reference.com/register/player.fcgi?id=shim--000woo
Bon Ki Shin,1989-03-21,https://www.baseball-reference.com/register/player.fcgi?id=shin--000bon
Hyeong Jun So,2001-09-16,https://www.baseball-reference.com/register/player.fcgi?id=so----000hye
Dong Hyun Son,2001-01-23,https://www.baseball-reference.com/register/player.fcgi?id=son---002don
Min Sub Song,1991-08-02,https://www.baseball-reference.com/register/player.fcgi?id=song--001min
